loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,address
14500, 36 months,12.99,488.5,B,B4,Supervisor,10+ years,MORTGAGE,55000,Verified,Nov-13,Fully Paid,debt_consolidation,consolidate,4.71,Sep-05,10,1,9143,59.8,16,f,INDIVIDUAL,2,1,"419 Stephens Passage Apt. 830
Craigshire, NY 22690"
24000, 60 months,17.1,597.76,C,C5,Business Systems Analyst,1 year,RENT,105000,Source Verified,Oct-13,Fully Paid,credit_card,Credit Card Debt Consolidation,11.89,Jul-99,8,0,34484,74.8,32,w,INDIVIDUAL,0,0,"096 Jones Plains Apt. 224
East Nicolefort, PA 29597"
10000, 36 months,14.99,346.61,C,C5,Supervisor,6 years,MORTGAGE,32000,Not Verified,Dec-14,Charged Off,debt_consolidation,Debt consolidation,28.13,Dec-04,11,0,2881,22.9,16,f,INDIVIDUAL,0,0,"8048 Matthew Mills
Jacobsfurt, DC 48052"
5225, 36 months,16.55,185.12,D,D2,Material Handler,< 1 year,MORTGAGE,31000,Source Verified,Oct-15,Charged Off,credit_card,Credit card refinancing,24.39,Sep-01,7,0,22264,84.3,13,w,INDIVIDUAL,2,0,"5459 Wendy Hollow
South Mark, KY 70466"
16225, 60 months,21.98,447.94,E,E4,SIH,2 years,OWN,70000,Source Verified,Jul-12,Charged Off,debt_consolidation,Relief,18.72,Jun-01,13,0,23133,70.1,26,f,INDIVIDUAL,0,0,"7304 Jennifer Keys
Anthonyville, AK 48052"
24000, 36 months,6.03,730.46,A,A1,EmCare,1 year,MORTGAGE,100000,Verified,Apr-13,Fully Paid,debt_consolidation,Pay it off quickly,29.42,Feb-98,18,0,28739,73.7,42,f,INDIVIDUAL,3,0,"PSC 4265, Box 5032
APO AP 48052"
12000, 60 months,10.99,260.85,B,B4,Engineer,10+ years,MORTGAGE,206000,Not Verified,Jul-15,Fully Paid,home_improvement,Home improvement,9.71,Dec-92,11,0,22231,84.2,27,w,INDIVIDUAL,5,0,"Unit 9412 Box 0399
DPO AA 48052"
5000, 36 months,12.39,167.01,C,C1,Lead Mechanic,10+ years,MORTGAGE,65000,Verified,Jan-15,Fully Paid,home_improvement,Home improvement,14.79,Mar-00,11,3,1660,13.1,38,f,INDIVIDUAL,3,1,"6552 Jesse Lane Suite 044
West Jasonton, WI 48052"
5000, 36 months,11.67,165.29,B,B4,Quality Control,10+ years,MORTGAGE,42000,Not Verified,Oct-14,Fully Paid,other,Other,7.83,Oct-98,6,0,11436,73.3,8,f,INDIVIDUAL,1,0,"35107 Sara Keys Suite 280
Courtneyton, NV 48052"
10000, 36 months,18.24,362.73,D,D5,Truck driver,8 years,OWN,65000,Not Verified,Jul-14,Fully Paid,home_improvement,Home improvement,10.86,May-06,4,0,4160,83.2,9,w,INDIVIDUAL,1,0,"94777 Wright Light Suite 587
Lake Michelleside, AL 05113"
35000, 60 months,20.49,936.86,E,E4,Communications Technician,10+ years,MORTGAGE,75000,Verified,Feb-15,Fully Paid,debt_consolidation,Debt consolidation,23.01,Aug-00,14,0,36666,84.3,29,f,INDIVIDUAL,7,0,"USCGC Brown
FPO AA 30723"
28000, 60 months,17.14,697.99,D,D4,truck driver,10+ years,MORTGAGE,120000,Verified,Jan-15,Charged Off,debt_consolidation,Debt consolidation,26.39,Jun-99,17,0,42728,69.8,27,f,INDIVIDUAL,5,0,"9539 Karen Stravenue
New Marystad, NJ 11650"
34375, 36 months,17.76,1238.61,D,D1,Employment Program Rep,10+ years,MORTGAGE,210000,Verified,Dec-13,Fully Paid,credit_card,payoff credit cards faster loan,15.73,Aug-84,26,0,34846,62.8,58,f,INDIVIDUAL,8,0,"86954 Ramirez Forge Apt. 133
Rubenbury, IA 22690"
1600, 36 months,12.69,53.68,B,B5,Scruffy Duck,7 years,RENT,32000,Not Verified,Jan-12,Charged Off,debt_consolidation,Lemon,17.18,Sep-05,6,0,2225,79.5,10,f,INDIVIDUAL,,0,"131 Jacobson Greens Suite 449
East Denise, IL 93700"
10000, 36 months,16.99,356.48,D,D1,Contract Analyst,2 years,MORTGAGE,50000,Verified,Jan-14,Fully Paid,credit_card,Credit card refinancing,23.09,Jun-03,13,0,11187,72.2,17,w,INDIVIDUAL,1,0,"88507 Porter Mountain
Fryeland, IN 22690"
16000, 60 months,21.49,437.28,E,E3,Interstate Energy dba Como Oil & Propane,10+ years,MORTGAGE,40467.36,Verified,Jul-12,Fully Paid,debt_consolidation,Debt Payoff Loan,13.82,Dec-99,10,0,20457,81.2,20,f,INDIVIDUAL,2,0,"0392 Reynolds Mountains Apt. 799
Simston, CT 48052"
16000, 36 months,12.29,533.65,C,C1,Project Manager,5 years,MORTGAGE,155000,Source Verified,Sep-15,Fully Paid,debt_consolidation,Debt consolidation,12.54,Mar-00,18,0,45617,76.8,43,f,INDIVIDUAL,3,0,"USNS Anderson
FPO AA 00813"
10000, 36 months,13.66,340.13,C,C3,Sales Manager,< 1 year,MORTGAGE,105000,Not Verified,Nov-14,Fully Paid,house,Home buying,7.99,Oct-96,15,0,5498,7.4,32,f,INDIVIDUAL,3,0,"40151 Karen Isle Suite 503
Port Damon, HI 70466"
8000, 36 months,6.92,246.73,A,A4,Sales,7 years,MORTGAGE,43000,Verified,Feb-15,Fully Paid,debt_consolidation,Debt consolidation,5.69,Oct-01,6,1,5752,60.5,10,f,INDIVIDUAL,1,1,"67781 Daniel Grove Apt. 753
West Jeffrey, WV 29597"
4000, 36 months,17.57,143.75,D,D4,cna,2 years,MORTGAGE,20000,Verified,Nov-15,Charged Off,other,Other,30.79,Nov-10,9,0,6336,58.1,9,f,INDIVIDUAL,0,0,"6811 Elizabeth Plain Apt. 299
Heatherberg, TN 86630"
10000, 36 months,9.17,318.79,B,B2,Owner,< 1 year,RENT,62672,Source Verified,Oct-15,Fully Paid,debt_consolidation,Debt consolidation,16.37,Jun-98,7,1,3000,27,36,w,INDIVIDUAL,6,1,"465 Bruce Way
Jamesshire, TN 29597"
12000, 36 months,8.18,377.04,B,B1,interventional technologist,8 years,MORTGAGE,70000,Source Verified,Jun-15,Fully Paid,debt_consolidation,Debt consolidation,4.42,Mar-05,7,0,11446,97,22,w,INDIVIDUAL,2,0,"756 Emily Bypass
Lake Robert, RI 05113"
2900, 36 months,17.27,103.79,C,C5,,,RENT,27464,Verified,Mar-13,Fully Paid,credit_card,getfreeofchase,15.42,Apr-97,5,0,5350,84.9,15,f,INDIVIDUAL,0,0,"427 Cunningham River
New Jason, RI 70466"
35000, 36 months,14.54,1205.42,D,D1,Polaris Group,2 years,RENT,145000,Verified,Mar-11,Fully Paid,credit_card,Eliminate Credit Card Debt Forever Plan,25.09,Jun-94,5,0,44422,68.6,22,f,INDIVIDUAL,,0,"50681 Christopher Courts Suite 360
Graceshire, IA 70466"
35000, 36 months,14.99,1213.12,C,C5,Fire Support Officer,10+ years,MORTGAGE,115000,Verified,Jun-14,Fully Paid,debt_consolidation,Debt consolidation,32.9,Jul-93,28,0,45079,58.4,63,f,INDIVIDUAL,3,0,"730 Amber Lights Suite 228
Lucaschester, NJ 22690"
5000, 36 months,9.99,161.32,B,B1,State of Alabama,10+ years,MORTGAGE,75000,Source Verified,Jul-11,Fully Paid,house,Home Loan,13.1,May-92,8,0,20210,70.4,20,f,INDIVIDUAL,,0,"3945 Thompson Spring Apt. 766
Port Christopher, AZ 70466"
6075, 36 months,10.16,196.48,B,B1,Providence Baptist Church,10+ years,MORTGAGE,32000,Source Verified,May-13,Fully Paid,credit_card,Credit card refinancing,16.2,Jul-99,10,0,4193,62.6,27,w,INDIVIDUAL,1,0,"447 Carpenter Plains
Christineberg, MA 30723"
35000, 36 months,13.98,1195.88,C,C3,SSA - ODAR - Group Supervisor,10+ years,OWN,101807,Verified,Jun-14,Fully Paid,other,Other,11.22,Jan-83,19,0,3335,6.1,39,w,INDIVIDUAL,0,0,"857 Arthur Ramp Suite 233
South Jimmyville, KY 05113"
7200, 36 months,8.67,227.86,B,B1,Senior Security Analyst,< 1 year,RENT,120000,Source Verified,Jan-15,Fully Paid,debt_consolidation,Debt consolidation,9.28,Mar-89,12,3,7041,46,33,f,INDIVIDUAL,1,0,"1655 Chapman Ferry
New Debramouth, KY 30723"
14550, 60 months,20.49,389.47,E,E1,KSL Media,1 year,RENT,55000,Verified,Apr-13,Fully Paid,credit_card,Credit Card Loan,19.18,Nov-99,18,0,16414,58.4,49,f,INDIVIDUAL,0,0,"587 Willis Freeway Apt. 782
Lake Ann, MN 22690"
3300, 36 months,15.1,114.56,C,C2,Driver/Sales Representative,< 1 year,RENT,52000,Source Verified,Dec-13,Fully Paid,debt_consolidation,Debt Consolidation,16.52,Dec-06,15,0,3353,74.5,19,w,INDIVIDUAL,0,0,"739 Anderson Burgs Apt. 915
Kristenhaven, MS 29597"
8000, 36 months,12.12,266.18,B,B3,Wingfoot (Goodyear) Commercial Tire Sys,9 years,MORTGAGE,70000,Source Verified,Jun-13,Charged Off,home_improvement,Home improvement and debt consolidation,17.33,Nov-96,8,1,5282,50.8,15,f,INDIVIDUAL,3,1,"86831 Vasquez Road Apt. 602
North Isaac, ME 93700"
26250, 60 months,18.92,679.79,D,D4,DIRECTOR,7 years,MORTGAGE,82000,Verified,Feb-14,Fully Paid,debt_consolidation,Debt consolidation,26.97,Oct-93,11,0,35781,93.2,22,f,INDIVIDUAL,4,0,"836 Garcia Pines Suite 725
Cynthiaberg, OH 48052"
5000, 36 months,9.17,159.4,B,B2,,,RENT,37200,Verified,Feb-15,Fully Paid,debt_consolidation,Debt consolidation,28.58,Nov-93,7,0,2302,29.5,28,f,INDIVIDUAL,2,0,"73680 Obrien Brooks Suite 125
Lake Rachaelberg, HI 70466"
10000, 36 months,7.62,311.62,A,A3,Truck Driver,10+ years,MORTGAGE,65000,Source Verified,Dec-13,Fully Paid,credit_card,CC Loan,11.07,May-93,14,0,6190,16.2,25,w,INDIVIDUAL,2,0,"55921 Casey Villages Suite 029
Kimberlymouth, MT 48052"
15000, 36 months,6.03,456.54,A,A1,IT Consultant (Developer/Analyst),8 years,MORTGAGE,146000,Not Verified,Oct-14,Fully Paid,debt_consolidation,Debt consolidation,7.76,Nov-86,19,0,7292,5.9,38,w,INDIVIDUAL,4,0,"Unit 7755 Box 4168
DPO AE 48052"
16000, 60 months,14.99,380.56,C,C5,Supervisor,9 years,OWN,53000,Source Verified,Jul-14,Fully Paid,debt_consolidation,Debt consolidation,15.4,Sep-01,10,0,17436,53,14,w,INDIVIDUAL,0,0,"792 West Parkways
East Brenda, OR 22690"
20000, 36 months,6.62,614.08,A,A2,IBM,10+ years,MORTGAGE,96299,Not Verified,Feb-13,Fully Paid,debt_consolidation,Debt consolidation,16.84,Feb-85,10,0,30092,72.7,27,f,INDIVIDUAL,4,0,"425 Emily Ramp Suite 502
Shortshire, OR 00813"
7500, 36 months,8.94,238.29,A,A5,Consumertrack,1 year,RENT,50000,Not Verified,Oct-09,Fully Paid,credit_card,Help me pay off my debts,21.55,Sep-01,8,0,7356,28.3,14,f,INDIVIDUAL,,0,"579 Kelly Locks
Lake George, AL 29597"
2400, 36 months,9.99,77.43,B,B3,Investigtor,2 years,MORTGAGE,95000,Not Verified,Oct-15,Charged Off,other,Other,31.53,Apr-94,13,0,44148,84.1,36,f,INDIVIDUAL,3,0,"558 Snyder Fork
Charleston, VA 48052"
3000, 36 months,12.35,100.15,B,B4,Joy Global,10+ years,MORTGAGE,92000,Not Verified,Aug-13,Fully Paid,major_purchase,Hot Tub,10,Aug-85,15,0,8740,31.3,32,f,INDIVIDUAL,0,0,"19199 Myers Pine Apt. 344
Fletcherland, AR 70466"
9000, 36 months,10.74,293.55,B,B2,The cheesecake factory ,7 years,RENT,50000,Not Verified,Apr-12,Fully Paid,debt_consolidation,Personal,15.55,Aug-00,4,0,9591,61.1,7,f,INDIVIDUAL,0,0,"7439 Estrada Ford Apt. 801
South Brian, MI 30723"
12175, 36 months,15.88,427.32,C,C4,Memorial Hermann,3 years,RENT,50000,Verified,Aug-13,Fully Paid,house,Wedding Loan,24.14,Oct-06,16,0,7709,41,23,f,INDIVIDUAL,0,0,"73726 Li Port
Laurenton, VT 70466"
10000, 36 months,16.99,356.48,D,D3,Warehouse Manager,2 years,RENT,60000,Verified,Aug-15,Charged Off,debt_consolidation,Debt consolidation,9.6,Jul-02,6,0,0,0,10,f,INDIVIDUAL,0,0,"342 Angel Bridge Suite 086
Andreaville, LA 70466"
7000, 36 months,9.17,223.16,B,B1,manager,6 years,OWN,46752,Source Verified,Jul-14,Fully Paid,debt_consolidation,Debt consolidation,12.4,Oct-00,8,0,2735,35,27,w,INDIVIDUAL,0,0,"85658 Nixon Corner
North Lauren, NY 48052"
5000, 36 months,9.07,159.17,A,A4,Crowe Capital Markets,< 1 year,RENT,85000,Not Verified,Oct-08,Fully Paid,other,Opportunistic Investment,5.46,May-00,15,0,6528,14.3,32,f,INDIVIDUAL,,0,"34177 Cox Valleys
North Ryan, KY 30723"
7025, 36 months,12.88,236.3,C,C2,Carpenter,10+ years,MORTGAGE,180000,Not Verified,Jan-16,Fully Paid,small_business,Business,1.38,Feb-06,4,0,0,0,12,w,INDIVIDUAL,1,0,"306 Brown Inlet
Davidborough, AK 22690"
20000, 36 months,13.11,674.94,B,B4,Kraft Foods,10+ years,MORTGAGE,54000,Verified,Aug-12,Fully Paid,debt_consolidation,debt consolidation,32.09,Oct-93,19,0,42694,62,37,f,INDIVIDUAL,4,0,"17532 Martinez Ferry
Rebeccachester, WV 05113"
22500, 36 months,8.9,714.45,A,A5,Executive Director,10+ years,MORTGAGE,155000,Source Verified,Jan-14,Fully Paid,credit_card,Credit Card Consolidation Loan,13.65,Mar-82,17,0,48554,75.4,42,f,INDIVIDUAL,5,0,"16149 Jeremy Light
North Justinland, MI 05113"
16000, 36 months,10.99,523.75,B,B2,Systems Engineer,3 years,RENT,70000,Verified,Apr-14,Charged Off,debt_consolidation,Debt consolidation,28.68,Aug-05,14,0,20456,81.8,19,f,INDIVIDUAL,0,0,"2920 Jennifer Junction Apt. 059
Danielland, KY 93700"
8000, 36 months,12.59,267.98,C,C2,bus driver,10+ years,RENT,45000,Verified,Dec-15,Fully Paid,credit_card,Credit card refinancing,18.11,Oct-08,10,1,1984,8.3,40,w,INDIVIDUAL,1,1,"59125 Parker Manors
Gonzalezview, HI 70466"
7200, 36 months,13.98,246.01,C,C1,,,MORTGAGE,29000,Verified,Jan-14,Fully Paid,credit_card,credit cards,34.85,Jun-84,22,0,29970,44.3,46,w,INDIVIDUAL,4,0,"2843 Long Camp
Melissaberg, HI 22690"
7200, 36 months,9.17,229.53,B,B1,Wildlife Management,5 years,MORTGAGE,35000,Not Verified,Aug-14,Fully Paid,home_improvement,Home improvement,10.49,Jul-06,6,0,10827,37.6,11,f,INDIVIDUAL,1,0,"66469 Daisy Loop
Lake Wesleyshire, DC 48052"
15000, 36 months,13.11,506.21,B,B4,School District of Philadelphia,4 years,RENT,58000,Not Verified,Feb-13,Fully Paid,debt_consolidation,road to prosperity,21.46,Jun-86,12,0,19782,77.3,27,f,INDIVIDUAL,0,0,"2059 Johns Prairie
Natashaburgh, KY 30723"
8000, 60 months,15.23,191.29,C,C5,URS,1 year,RENT,90000,Source Verified,May-11,Fully Paid,debt_consolidation,Debt Consolidation,15.44,Apr-90,11,0,33723,85.6,22,f,INDIVIDUAL,,0,"587 Wyatt Street
Johnton, KY 70466"
14000, 60 months,14.49,329.33,C,C4,Accountant,10+ years,MORTGAGE,61000,Not Verified,Oct-14,Fully Paid,debt_consolidation,Debt consolidation,22.6,Jun-03,12,0,14810,81.4,18,w,INDIVIDUAL,2,0,"685 Ramos Square Apt. 245
West Susan, WI 22690"
12000, 36 months,6.99,370.48,A,A3,,,MORTGAGE,52000,Verified,Jan-15,Charged Off,credit_card,Credit card refinancing,18.97,May-76,21,0,19884,10.7,35,w,INDIVIDUAL,3,0,"6193 Taylor Square
West Sophiachester, MD 93700"
21725, 60 months,13.49,499.78,C,C2,Waste Management,6 years,MORTGAGE,51600,Verified,Jul-11,Charged Off,credit_card,pay off credit cards yay!!,23.23,Nov-90,11,0,34046,84,26,f,INDIVIDUAL,,0,"113 Joshua Viaduct
South Russellmouth, HI 93700"
15000, 36 months,20.31,559.83,D,D5,snohomish county public utility,10+ years,MORTGAGE,72000,Verified,Aug-13,Fully Paid,home_improvement,remodel me,7.47,Jun-96,7,1,8371,57.3,22,f,INDIVIDUAL,1,1,"5350 Sarah Roads
Jordanborough, NJ 30723"
24000, 60 months,14.49,564.56,C,C4,Dispatcher,< 1 year,MORTGAGE,60000,Source Verified,Oct-14,Fully Paid,credit_card,Credit card refinancing,28.02,Jun-01,13,0,19566,50.6,42,w,INDIVIDUAL,2,0,"7974 Griffith Shores Apt. 974
Lake Katrina, AR 48052"
6000, 36 months,14.16,205.54,C,C2,General Manager,10+ years,RENT,70000,Source Verified,Apr-14,Fully Paid,car,Car financing,2.4,May-01,8,1,5033,46.2,26,f,INDIVIDUAL,6,1,"68481 Gomez Flat Suite 871
Kristinebury, TX 30723"
15000, 36 months,11.55,495,B,B3,americold logistics,6 years,MORTGAGE,52000,Not Verified,Aug-13,Fully Paid,credit_card,love to be free,16.52,Mar-03,6,0,13658,62.7,17,f,INDIVIDUAL,2,0,"572 Ariel Prairie
Aguilarbury, KY 30723"
20000, 36 months,5.32,602.3,A,A1,Claim Manager,10+ years,RENT,180000,Not Verified,May-16,Fully Paid,debt_consolidation,Debt consolidation,19.47,Oct-95,14,0,44510,66,39,w,INDIVIDUAL,2,0,"8303 Alan Loaf
Jeffreybury, WV 29597"
10000, 36 months,10.15,323.38,B,B2,supervisor,10+ years,MORTGAGE,96000,Not Verified,Jun-14,Charged Off,credit_card,Credit card refinancing,11.31,Oct-94,5,1,9822,83.9,14,f,INDIVIDUAL,3,1,"1431 Ward Plain
Jacquelinehaven, OH 93700"
35000, 60 months,13.66,808.24,C,C3,"SVP, Global Marketing",6 years,MORTGAGE,225000,Verified,Jan-15,Fully Paid,credit_card,Credit card refinancing,21.57,Apr-90,18,0,60112,74,29,w,INDIVIDUAL,2,0,"85613 Jacob Track Apt. 827
Krystalside, IL 05113"
10000, 36 months,17.77,360.38,D,D1,Mayer Brown LLP,10+ years,OWN,88000,Source Verified,Jun-13,Charged Off,debt_consolidation,Improve Living,21.9,Aug-97,11,1,12328,72.5,31,w,INDIVIDUAL,0,1,"858 Cooper Lock Suite 971
Port Frank, IN 86630"
5000, 36 months,14.16,171.28,C,C2,Rural Carrier,8 years,OWN,55750,Source Verified,Mar-14,Fully Paid,credit_card,Credit card refinancing,3.21,Sep-04,3,0,5752,73.7,4,f,INDIVIDUAL,0,0,"9004 Kemp Plains Apt. 247
Martinfurt, UT 30723"
8125, 36 months,16.49,287.63,D,D3,,,OWN,26400,Verified,Nov-14,Fully Paid,debt_consolidation,Debt consolidation,30.41,Sep-79,11,1,3400,43.6,23,f,INDIVIDUAL,3,0,"Unit 0191 Box 9109
DPO AE 05113"
15050, 60 months,18.2,383.82,E,E1,Program Manager,9 years,RENT,122000,Source Verified,Nov-15,Fully Paid,credit_card,Credit card refinancing,23.97,Sep-01,16,0,7888,31.7,38,w,INDIVIDUAL,0,0,"USNS Hardy
FPO AP 29597"
14400, 60 months,13.33,330.09,C,C3,Division Operations Manager,< 1 year,MORTGAGE,150000,Source Verified,Feb-15,Fully Paid,credit_card,Credit card refinancing,12.1,Feb-98,11,0,13991,53.8,27,w,INDIVIDUAL,5,0,"0183 Edwards Heights Apt. 066
Ruizton, WV 05113"
28000, 36 months,7.49,870.85,A,A4,Medical Director,5 years,MORTGAGE,190000,Not Verified,Jan-16,Fully Paid,debt_consolidation,Debt consolidation,8.94,Nov-91,11,2,41291,46.7,25,w,INDIVIDUAL,2,0,"95311 David Wall
North Michelleburgh, WA 48052"
18000, 36 months,17.57,646.87,D,D4,Assistant manager,9 years,MORTGAGE,50000,Source Verified,May-14,Charged Off,debt_consolidation,Debt consolidation,15.72,Jan-97,10,0,25142,81.4,41,f,INDIVIDUAL,5,0,"184 Oneal Trace
Davidview, NY 70466"
18000, 36 months,16.99,641.66,D,D3,Manager,3 years,RENT,60000,Source Verified,Aug-14,Fully Paid,other,Other,17.38,Jun-07,9,0,5051,37.1,17,w,INDIVIDUAL,0,0,"32565 Bailey Island Suite 523
Morrisonport, SD 29597"
14000, 36 months,6.99,432.22,A,A3,Bus Operator,10+ years,RENT,92000,Source Verified,Nov-14,Fully Paid,debt_consolidation,Debt consolidation,11.86,Jun-96,11,1,3127,29,39,f,INDIVIDUAL,3,1,"913 Brady Well Suite 680
Petersonchester, TN 48052"
21000, 36 months,11.99,697.41,B,B3,AVP,7 years,MORTGAGE,150000,Source Verified,Oct-13,Charged Off,home_improvement,Home improvement,16.31,Apr-95,20,0,70859,68.8,50,f,INDIVIDUAL,4,0,"188 Oscar Key
Davistown, IN 22690"
22000, 60 months,13.35,504.52,C,C2,,,MORTGAGE,65000,Verified,Jun-14,Charged Off,credit_card,Credit card refinancing,27.86,Sep-94,13,0,27069,56,40,w,INDIVIDUAL,3,0,"37534 Tyler Mount Suite 866
Schmidtfurt, AL 86630"
15000, 36 months,6.62,460.56,A,A2,Lead Instructor,5 years,RENT,60000,Not Verified,Feb-14,Fully Paid,credit_card,Credit card refinancing,23.9,Apr-98,9,0,14167,70.5,28,w,INDIVIDUAL,0,0,"1659 David Freeway Apt. 574
Diaztown, SD 30723"
5000, 36 months,7.88,156.41,A,A5,Howell Police,10+ years,MORTGAGE,70000,Not Verified,Sep-10,Charged Off,home_improvement,Mad1,16.61,Sep-87,18,0,19771,45.1,53,f,INDIVIDUAL,,0,"73313 Bruce Fall Apt. 785
Townsendview, WV 86630"
15775, 36 months,13.98,539,C,C3,maintance tech,9 years,RENT,36000,Source Verified,Jun-14,Charged Off,debt_consolidation,Debt consolidation,23.23,Jun-04,8,0,11742,75.3,12,w,INDIVIDUAL,0,0,"111 Nathan Forge Apt. 612
West John, WI 86630"
4500, 36 months,10.16,145.55,B,B1,Department of the Navy,< 1 year,MORTGAGE,87000,Verified,Jul-12,Charged Off,wedding,Wedding fund,20.06,Apr-04,11,0,8178,68.1,23,f,INDIVIDUAL,6,0,"221 Monique Ways
Masseyview, DE 86630"
24000, 36 months,7.9,750.97,A,A4,BAE Systems,3 years,MORTGAGE,99000,Verified,Feb-12,Fully Paid,debt_consolidation,Debt Consolidation,14.27,Jun-00,15,0,12874,23.8,25,f,INDIVIDUAL,,0,"56575 Carey Meadow Suite 451
Lake Elizabethport, NJ 29597"
24000, 36 months,12.69,805.08,C,C2,accounting manager,10+ years,MORTGAGE,98000,Verified,Jul-15,Fully Paid,home_improvement,Home improvement,36.35,Apr-84,14,0,70704,71,30,w,INDIVIDUAL,3,0,"9846 Davis Port
Lewisburgh, OH 30723"
6950, 36 months,15.61,243.01,C,C3,Baptist Health System,10+ years,MORTGAGE,74500,Not Verified,Sep-13,Fully Paid,debt_consolidation,Debt consolidation,9.42,Sep-04,8,0,23177,69.6,16,f,INDIVIDUAL,1,0,"7167 Kimberly River
Klinehaven, WA 05113"
15000, 60 months,8.19,305.52,A,A5,General manager,10+ years,OWN,105000,Not Verified,Jan-15,Fully Paid,debt_consolidation,Debt consolidation,6.89,Aug-02,11,0,9395,31.7,27,w,INDIVIDUAL,6,0,"811 Smith Stravenue
Hebertton, NH 00813"
2400, 36 months,10.59,78.11,B,B2,Grand Casino,6 years,MORTGAGE,33280,Not Verified,Jun-11,Fully Paid,debt_consolidation,Bill Consolidation,10.37,Jan-00,14,0,5183,51.3,31,f,INDIVIDUAL,,0,"71738 Porter Plains Apt. 739
Port Karen, OH 05113"
10400, 36 months,12.99,350.37,B,B4,truck driver,10+ years,RENT,56000,Not Verified,Nov-13,Fully Paid,credit_card,payoff credit card loan,22.87,Jan-01,16,0,24161,57.7,34,w,INDIVIDUAL,0,0,"246 Munoz Island
Allentown, AR 00813"
35000, 60 months,21,946.87,E,E2,Kraft foods ,10+ years,MORTGAGE,80500,Verified,Jun-13,Charged Off,home_improvement,home improvement,11.76,Jun-00,10,0,15329,65.8,19,f,INDIVIDUAL,2,0,"81685 Charles Shoal Suite 413
Lake Julia, MT 11650"
16000, 36 months,9.71,514.1,B,B1,Law firm,< 1 year,OWN,90000,Source Verified,Aug-13,Fully Paid,debt_consolidation,debtconsol,10.6,Jun-87,13,0,18970,35.7,25,f,INDIVIDUAL,4,0,"1887 Michael Rest Suite 375
Port Johnton, NH 48052"
10000, 36 months,14.31,343.29,C,C4,Service Car Detail,10+ years,MORTGAGE,28800,Not Verified,Nov-14,Charged Off,credit_card,Credit card refinancing,32.88,Feb-02,14,0,18390,60.9,22,f,INDIVIDUAL,3,0,"USCGC Ellis
FPO AA 93700"
10000, 36 months,10.99,327.34,B,B4,firefighter,2 years,MORTGAGE,60000,Not Verified,Feb-15,Charged Off,debt_consolidation,Debt consolidation,21.14,Nov-10,11,0,7522,46.4,15,w,INDIVIDUAL,1,0,"47913 Michelle Summit
Wandahaven, IA 30723"
28000, 36 months,15.61,979.02,D,D1,Administrator,3 years,MORTGAGE,136000,Verified,Aug-14,Charged Off,credit_card,Credit card refinancing,16.88,Jul-88,12,0,43241,98.7,26,w,INDIVIDUAL,3,0,"331 Martinez Inlet
East Carolynstad, WI 22690"
12000, 36 months,8.39,378.2,A,A5,Administrative Assistant,8 years,MORTGAGE,55000,Not Verified,Oct-14,Fully Paid,debt_consolidation,Debt consolidation,9.78,Feb-07,16,1,4772,26.8,21,w,INDIVIDUAL,1,1,"1690 Reed Stravenue
North Patrick, NE 70466"
24000, 60 months,8.18,488.71,B,B1,Dealer,10+ years,MORTGAGE,72000,Not Verified,Aug-15,Fully Paid,debt_consolidation,Debt consolidation,14.9,Feb-00,6,0,22527,82.2,13,w,INDIVIDUAL,4,0,"78213 Allison Vista
East Matthewfurt, MS 29597"
14000, 36 months,12.49,468.29,B,B5,Consultant,2 years,MORTGAGE,55000,Not Verified,Oct-14,Fully Paid,debt_consolidation,Debt consolidation,18.28,Aug-97,12,0,35354,58.9,19,w,INDIVIDUAL,5,0,"01076 Jeremiah Station Suite 871
Vanessamouth, NH 70466"
30000, 36 months,8.9,952.6,A,A5,Boeing Commercial Airplanes,10+ years,RENT,138000,Verified,Apr-12,Fully Paid,medical,medical,18.04,Apr-88,5,0,9798,34.8,11,f,INDIVIDUAL,1,0,"2513 Moore Port Suite 518
Henryland, TN 22690"
34500, 36 months,10.75,1125.41,B,B4,operations supervisor,< 1 year,RENT,69000,Source Verified,Mar-16,Fully Paid,credit_card,,21.89,Apr-97,13,0,49035,84,29,w,INDIVIDUAL,3,0,"6753 Riddle Estates
West Sarahton, WA 30723"
9750, 36 months,17.27,348.93,C,C5,i.n.d.o.t,10+ years,RENT,28000,Verified,Jun-13,Fully Paid,debt_consolidation,debt condsoliadt,33.86,Sep-00,8,1,2772,60.3,19,f,INDIVIDUAL,0,1,"65574 Gregory Junction Apt. 260
Hallstad, LA 70466"
9000, 36 months,15.31,313.36,C,C4,Administrative Assistant,7 years,OWN,36000,Verified,Apr-14,Fully Paid,debt_consolidation,Debt consolidation,8.3,Mar-88,8,3,6105,72.7,14,w,INDIVIDUAL,0,1,"759 Jennifer Dale
Port Emilyville, MA 00813"
17500, 36 months,6.03,532.63,A,A1,professor,10+ years,MORTGAGE,77000,Not Verified,May-14,Fully Paid,debt_consolidation,Debt consolidation,10.07,Sep-95,6,0,21906,30.4,12,w,INDIVIDUAL,1,0,"9814 Moss Landing
South Frankville, WV 48052"
